Visitors to Australia,Australian travels abroad,Time
1.42,1.45,Aug 2015
1.46,1.48,Sep 2015
1.65,1.4,Oct 2015
1.42,1.44,Nov 2015
1.58,1.85,Dec 2015
1.91,1.64,Jan 2016
1.56,1.37,Feb 2016
1.48,1.54,Mar 2016
1.47,1.49,Apr 2016
1.3,1.39,May 2016
1.33,1.58,Jun 2016
1.83,1.57,Jul 2016
1.51,1.55,Aug 2016
1.59,1.6,Sep 2016
1.78,1.5,Oct 2016
1.51,1.54,Nov 2016
1.72,1.99,Dec 2016
2.07,1.78,Jan 2017
1.63,1.39,Feb 2017
1.52,1.58,Mar 2017
1.65,1.71,Apr 2017
1.4,1.49,May 2017
1.42,1.67,Jun 2017
1.91,1.65,Jul 2017
1.62,1.66,Aug 2017
1.67,1.7,Sep 2017
1.88,1.57,Oct 2017
1.6,1.64,Nov 2017
1.76,2.08,Dec 2017
2.13,1.81,Jan 2018
1.73,1.52,Feb 2018
1.68,1.74,Mar 2018
1.67,1.71,Apr 2018
1.48,1.56,May 2018
1.51,1.79,Jun 2018
2.01,1.73,Jul 2018
1.72,1.77,Aug 2018
1.72,1.76,Sep 2018
1.96,1.64,Oct 2018
1.67,1.72,Nov 2018
1.85,2.18,Dec 2018
2.22,1.91,Jan 2019
1.79,1.52,Feb 2019
1.66,1.68,Mar 2019
1.67,1.83,Apr 2019
1.59,1.63,May 2019
1.56,1.8,Jun 2019
2.01,1.76,Jul 2019
1.78,1.81,Aug 2019
1.75,1.8,Sep 2019
1.98,1.68,Oct 2019
1.72,1.74,Nov 2019
1.89,2.24,Dec 2019
2.26,1.97,Jan 2020
1.57,1.29,Feb 2020
0.92,0.83,Mar 2020
0.02,0.06,Apr 2020
0.02,0.03,May 2020
0.03,0.04,Jun 2020
0.02,0.06,Jul 2020
0.01,0.06,Aug 2020
0.02,0.05,Sep 2020
0.02,0.05,Oct 2020
0.03,0.04,Nov 2020
0.03,0.05,Dec 2020
0.03,0.04,Jan 2021
0.03,0.03,Feb 2021
0.03,0.03,Mar 2021
0.05,0.06,Apr 2021
0.11,0.11,May 2021
0.1,0.1,Jun 2021
0.07,0.09,Jul 2021
0.03,0.04,Aug 2021
0.02,0.03,Sep 2021
0.02,0.04,Oct 2021
0.07,0.09,Nov 2021
0.2,0.23,Dec 2021
0.27,0.19,Jan 2022
0.27,0.18,Feb 2022
0.37,0.34,Mar 2022
0.57,0.61,Apr 2022
0.65,0.66,May 2022
0.73,0.88,Jun 2022
1.08,0.97,Jul 2022
1.03,0.94,Aug 2022
1.07,1.04,Sep 2022
1.21,1.01,Oct 2022
1.19,1.18,Nov 2022
1.26,1.52,Dec 2022
1.61,1.38,Jan 2023
1.38,1.07,Feb 2023
1.34,1.32,Mar 2023
1.37,1.43,Apr 2023
1.3,1.36,May 2023
1.36,1.56,Jun 2023
1.74,1.49,Jul 2023
1.54,1.52,Aug 2023
1.6,1.59,Sep 2023
1.74,1.48,Oct 2023
1.56,1.59,Nov 2023
1.7,2.03,Dec 2023
2.12,1.75,Jan 2024
1.79,1.49,Feb 2024
1.61,1.71,Mar 2024
1.63,1.65,Apr 2024
1.48,1.56,May 2024
1.53,1.76,Jun 2024
1.93,1.65,Jul 2024
1.66,1.69,Aug 2024
1.73,1.8,Sep 2024
1.94,1.66,Oct 2024
1.71,1.78,Nov 2024
1.85,2.26,Dec 2024
2.38,2.03,Jan 2025
1.87,1.52,Feb 2025
1.69,1.67,Mar 2025
1.76,1.93,Apr 2025
1.66,1.68,May 2025
1.62,1.81,Jun 2025
2.07,1.82,Jul 2025
1.81,1.83,Aug 2025
1.83,1.92,Sep 2025
