Countries,"International tourist departures per 1,000 people",GDP per capita( $),Region
Algeria,132.39542,15199.199,Africa
Argentina,202.65282,26629.553,South America
Armenia,643.2562,16215.36,Asia
Austria,1340.1831,64688.145,Europe
Azerbaijan,452.89627,20101.492,Asia
Bahrain,1043.2969,56749.96,Asia
Bangladesh,9.483785,6838.326,Asia
Belarus,102.06229,26798.82,Europe
Belgium,1507.4031,60506.66,Europe
Bhutan,53.606686,14555.188,Asia
Bolivia,99.38837,9985.23,South America
Bulgaria,834.78296,29199.834,Europe
Cambodia,123.65526,6448.885,Asia
Canada,875.10406,57583.848,North America
Chile,174.29128,28218.535,South America
China,108.62647,18820.514,Asia
Colombia,89.745155,17336.771,South America
Costa Rica,230.6208,23364.783,North America
Croatia,565.68207,35123.49,Europe
Czechia,695.98193,47763.617,Europe
Denmark,1562.9574,66580.19,Europe
Dominican Republic,48.834026,21451.287,North America
Ecuador,87.370155,13870.489,South America
El Salvador,213.90749,10543.938,North America
Estonia,1282.7644,42652.535,Europe
Eswatini,1458.6167,10123.316,Africa
Fiji,190.18347,13567.474,Oceania
Finland,1704.1686,56922.49,Europe
France,462.6084,53448.555,Europe
Georgia,995.5957,18186.88,Asia
Germany,1191.1677,62970.715,Europe
Ghana,7.1051664,6508.2466,Africa
Greece,732.18646,33502.75,Europe
Guatemala,75.92464,11466.376,North America
Hungary,959.3314,37662.676,Europe
Iceland,1693.8862,65122.754,Europe
India,19.214123,7930.0913,Asia
Israel,1060.241,44580.81,Asia
Italy,577.1316,49690.63,Europe
Jordan,144.02318,9288.527,Asia
Latvia,773.1419,35208.195,Europe
Lithuania,839.69666,43062.324,Europe
Luxembourg,4108.571,132724.75,Europe
Malawi,6.3072424,1687.2894,Africa
Malta,1402.7305,53342.215,Europe
Mauritius,248.78156,25739.355,Africa
Mexico,157.51854,21704.186,North America
Moldova,92.84959,14621.24,Europe
Morocco,55.480522,8768.176,Africa
Netherlands,1257.0203,67847.85,Europe
New Zealand,646.369,47277.664,Oceania
Nicaragua,146.36795,6756.5938,North America
Norway,1662.3867,87725.73,Europe
Oman,920.0113,38292.387,Asia
Panama,289.51297,33163.727,North America
Paraguay,222.4078,15321.324,South America
Peru,100.926674,15463.543,South America
Poland,353.16385,38181.62,Europe
Portugal,299.7133,40188.285,Europe
Puerto Rico,232.96646,41656.33,North America
Samoa,328.89404,7033.521,Oceania
Saudi Arabia,623.83484,62647.715,Asia
Seychelles,645.91797,34346.07,Africa
Sierra Leone,15.778595,2855.229,Africa
Singapore,1889.2112,120114.13,Asia
Slovenia,1521.5236,44580.777,Europe
Spain,418.3609,46896.418,Europe
Sri Lanka,64.300064,14637.444,Asia
Sweden,1751.1227,61232.484,Europe
Switzerland,1567.2354,79596.7,Europe
Thailand,146.05243,21277.84,Asia
Togo,31.785156,2501.0308,Africa
Tunisia,234.18782,13249.224,Africa
Turkey,113.06541,28132.053,Asia
Tuvalu,443.27078,5292.0303,Oceania
Uganda,11.348933,2689.4102,Africa
Ukraine,642.3852,17636.555,Europe
United Arab Emirates,1961.536,68887.84,Asia
United States,295.2852,69112.6,North America
Uruguay,647.29663,30010.574,South America
Vanuatu,124.65967,3512.072,Oceania
Zimbabwe,214.45349,3294.804,Africa
