Region,Year,International tourist trips arrivals 
Africa,1995,12825738
Africa,1996,14147503
Africa,1997,13960251
Africa,1998,15610950
Africa,1999,15517119
Africa,2000,16493972
Africa,2001,17825906
Africa,2002,19361636
Africa,2003,19421876
Africa,2004,20436836
Africa,2005,21475988
Africa,2006,26401410
Africa,2007,30212492
Africa,2008,31112308
Africa,2009,28588080
Africa,2010,31104820
Africa,2011,28950046
Africa,2012,31673978
Africa,2013,32779956
Africa,2014,35102652
Africa,2015,37677390
Africa,2016,41344696
Africa,2017,43584270
Africa,2018,46124516
Africa,2019,47717596
Africa,2020,12551529
Africa,2021,13066761
Africa,2022,17879562
Americas,1995,101538740
Americas,1996,109222250
Americas,1997,114019030
Americas,1998,119551576
Americas,1999,121235310
Americas,2000,130497920
Americas,2001,125481070
Americas,2002,121308580
Americas,2003,115344810
Americas,2004,130695360
Americas,2005,138025600
Americas,2006,144708300
Americas,2007,151933090
Americas,2008,152322740
Americas,2009,147420160
Americas,2010,157586380
Americas,2011,166079020
Americas,2012,172825540
Americas,2013,178661070
Americas,2014,194033360
Americas,2015,203406910
Americas,2016,213921120
Americas,2017,230232080
Americas,2018,241489460
Americas,2019,247056370
Americas,2020,70921330
Americas,2021,84756600
Americas,2022,163154600
East Asia and the Pacific,1995,114628020
East Asia and the Pacific,1996,125871070
East Asia and the Pacific,1997,130843580
East Asia and the Pacific,1998,131560696
East Asia and the Pacific,1999,148075500
East Asia and the Pacific,2000,168408400
East Asia and the Pacific,2001,175181760
East Asia and the Pacific,2002,189318190
East Asia and the Pacific,2003,175613860
East Asia and the Pacific,2004,218114640
East Asia and the Pacific,2005,235276430
East Asia and the Pacific,2006,250137780
East Asia and the Pacific,2007,270263460
East Asia and the Pacific,2008,267917630
East Asia and the Pacific,2009,264830430
East Asia and the Pacific,2010,293878600
East Asia and the Pacific,2011,313186660
East Asia and the Pacific,2012,332472060
East Asia and the Pacific,2013,352556600
East Asia and the Pacific,2014,374961600
East Asia and the Pacific,2015,397528860
East Asia and the Pacific,2016,419010780
East Asia and the Pacific,2017,449914200
East Asia and the Pacific,2018,478582880
East Asia and the Pacific,2019,489717500
East Asia and the Pacific,2020,47901210
East Asia and the Pacific,2021,18604654
East Asia and the Pacific,2022,50574040
Europe,1995,299126050
Europe,1996,381607780
Europe,1997,432401800
Europe,1998,449544320
Europe,1999,463903680
Europe,2000,480910530
Europe,2001,464748960
Europe,2002,469437570
Europe,2003,477238400
Europe,2004,527893020
Europe,2005,567146940
Europe,2006,587229950
Europe,2007,622668740
Europe,2008,628058430
Europe,2009,597133760
Europe,2010,617303550
Europe,2011,656688960
Europe,2012,691429500
Europe,2013,713443600
Europe,2014,714266940
Europe,2015,732388000
Europe,2016,753804700
Europe,2017,803308000
Europe,2018,844737340
Europe,2019,878514600
Europe,2020,325719650
Europe,2021,369904480
Europe,2022,584388350
Middle East,1995,10121729
Middle East,1996,9921554
Middle East,1997,10554617
Middle East,1998,11949062
Middle East,1999,12279362
Middle East,2000,16939348
Middle East,2001,18354060
Middle East,2002,20864252
Middle East,2003,21082220
Middle East,2004,24797388
Middle East,2005,25142280
Middle East,2006,26511590
Middle East,2007,29503934
Middle East,2008,28248450
Middle East,2009,30366606
Middle East,2010,33533844
Middle East,2011,36280144
Middle East,2012,37985984
Middle East,2013,40626188
Middle East,2014,49200390
Middle East,2015,52287390
Middle East,2016,50940948
Middle East,2017,51532164
Middle East,2018,58554670
Middle East,2019,62186680
Middle East,2020,13774998
Middle East,2021,21264216
Middle East,2022,40112744
Other,1995,10035331
Other,1996,8265938
Other,1997,8934764
Other,1998,10555127
Other,1999,11283300
Other,2000,11889670
Other,2001,12926462
Other,2002,12763352
Other,2003,13306440
Other,2004,15750314
Other,2005,20485908
Other,2006,16251305
Other,2007,21838532
Other,2008,22162966
Other,2009,22400094
Other,2010,24320732
Other,2011,26267050
Other,2012,26103700
Other,2013,26108500
Other,2014,32894000
Other,2015,36016700
Other,2016,34509100
Other,2017,35984800
Other,2018,39336720
Other,2019,39253040
Other,2020,16821970
Other,2021,20870664
Other,2022,23656700
South Asia,1995,4775750
South Asia,1996,5087395
South Asia,1997,5423448
South Asia,1998,5630525
South Asia,1999,6160465
South Asia,2000,8098670
South Asia,2001,8456330
South Asia,2002,9381947
South Asia,2003,9831523
South Asia,2004,11307755
South Asia,2005,10926592
South Asia,2006,12308369
South Asia,2007,14351667
South Asia,2008,14846366
South Asia,2009,15668748
South Asia,2010,19202424
South Asia,2011,22543868
South Asia,2012,21706162
South Asia,2013,21831928
South Asia,2014,26174352
South Asia,2015,27132340
South Asia,2016,29423140
South Asia,2017,33893284
South Asia,2018,35049256
South Asia,2019,37830564
South Asia,2020,8334362
South Asia,2021,9185303
South Asia,2022,15294831
